,rank,clique,order,size,missing,added,findqg_l000_time,findqg_l000_jaccard,findqg_l080_time,findqg_l080_jaccard,findqg_L005_time,findqg_L005_jaccard
3,2,20,30,271,0.3,0.5648378604705452,13.035064898984274,0.8260869565217391,6.774266835011076,0.5714285714285714,66.31371253699763,0.75
4,2,20,30,271,0.3,0.5648378604705452,21.368563916010316,0.7727272727272727,6.636781253997469,0.47619047619047616,89.66011775800143,0.8181818181818182
0,3,20,30,2457,0.25,0.5488857962710239,131.8409179240116,1.0,128.89948333599023,0.65,470.11035009499756,1.0
1,3,20,30,2457,0.25,0.5488857962710239,169.8698274900089,1.0,109.82066933100577,0.6,,
2,3,20,30,2457,0.25,0.5488857962710239,148.72473666400765,1.0,96.82054906600388,0.6,470.1365871730086,1.0
3,3,20,30,2457,0.25,0.5488857962710239,152.5012508239888,1.0,128.4039711029909,0.6,,
4,3,20,30,2457,0.25,0.5488857962710239,163.42736912198598,1.0,104.97422485399875,0.65,501.45039778901264,0.95
0,3,20,30,2301,0.3,0.5148378604705451,207.89426882800763,1.0,74.96573417598847,0.5,455.6317715779878,1.0
1,3,20,30,2301,0.3,0.5148378604705451,247.6395337510039,1.0,83.37740854200092,0.55,,
2,3,20,30,2301,0.3,0.5148378604705451,255.01500334401499,1.0,84.3628763279994,0.45,397.2039933249762,1.0
3,3,20,30,2301,0.3,0.5148378604705451,197.06222612099373,1.0,54.563669329014374,0.5,,
4,3,20,30,2301,0.3,0.5148378604705451,281.18504532802035,1.0,62.81061419699108,0.45,474.62440320200403,0.95
0,3,20,30,2636,0.2,0.5905571018644881,201.1813131220115,1.0,,,,
1,3,20,30,2636,0.2,0.5905571018644881,240.99276873099734,1.0,,,574.3024746819865,0.95
2,3,20,30,2636,0.2,0.5905571018644881,148.78267077202327,1.0,,,571.5260391039774,0.9
3,3,20,30,2636,0.2,0.5905571018644881,147.644497589994,1.0,,,,
4,3,20,30,2636,0.2,0.5905571018644881,133.01110830300604,1.0,,,438.07865688198945,1.0
0,3,20,30,2850,0.15,0.644280758606057,322.11756864000927,1.0,,,,
1,3,20,30,2850,0.15,0.644280758606057,194.66871218101005,1.0,,,,
2,3,20,30,2850,0.15,0.644280758606057,242.0784102199832,1.0,,,,
3,3,20,30,2850,0.15,0.644280758606057,162.92123607901158,1.0,,,522.4368590910162,1.0
4,3,20,30,2850,0.15,0.644280758606057,189.97108798101544,1.0,,,,
0,3,20,30,3128,0.1,0.72,,,,,,
1,3,20,30,3128,0.1,0.72,,,,,,
2,3,20,30,3128,0.1,0.72,,,,,,
3,3,20,30,3128,0.1,0.72,,,,,,
4,3,20,30,3128,0.1,0.72,,,,,,
